#Longitud de onda =  476  nm				Anchura de pulso =  150  nm
 Iteracion  E(x,n) real  E(x,n) imag  E(x+1,n) real  E(x+1,n) imag  B(x,n+1/2) real  B(x,n+1/2) imag  B(x-1,n+1/2) real  B(x-1,n+1/2) imag
   153.0    -0.003941    -0.015451    3.271701e-03  -3.045412e-02   -1.141324e-11     7.532756e-12     -2.181475e-11       8.018744e-11   
   154.0    -0.005562    -0.004133    2.777793e-03  -2.871407e-02   -2.586754e-11     5.013765e-11     -1.672451e-11       6.520260e-11   
   155.0    -0.004137    -0.001786    2.054830e-04  -1.761165e-02   -3.339476e-11     7.756682e-11     -6.376515e-12       2.381202e-11   
   156.0     0.000071    -0.010160   -1.816208e-03  -5.245625e-03   -3.012296e-11     6.904878e-11     -4.281383e-14      -1.343348e-11   
   157.0     0.004757    -0.023009   -1.057281e-03  -5.697023e-04   -2.004493e-11     3.015599e-11     -3.933911e-12      -1.925306e-11   
   158.0     0.007267    -0.030706    2.683386e-03  -6.859114e-03   -1.210043e-11    -1.117612e-11     -1.650167e-11       9.761281e-12   
   159.0     0.006581    -0.027444    7.416504e-03  -1.927132e-02   -1.354795e-11    -2.534168e-11     -2.957499e-11       5.046038e-11   
   160.0     0.004085    -0.015636    1.041637e-02  -2.838677e-02   -2.452228e-11    -3.241337e-12     -3.455575e-11       7.071661e-11   
   161.0     0.002522    -0.004115    1.023852e-02  -2.720067e-02   -3.789740e-11     3.677185e-11     -2.900012e-11       5.407037e-11   
   162.0     0.003908    -0.001420    7.801187e-03  -1.638315e-02   -4.464574e-11     6.270617e-11     -1.851413e-11       1.250035e-11   
   163.0     0.007978    -0.009241    5.700448e-03  -3.808775e-03   -4.069744e-11     5.329038e-11     -1.242616e-11      -2.277977e-11   
   164.0     0.012382    -0.021091    6.248981e-03   1.382292e-03   -3.006664e-11     1.433824e-11     -1.652380e-11      -2.561874e-11   
   165.0     0.014492    -0.027316    9.711846e-03  -4.253263e-03   -2.178128e-11    -2.563447e-11     -2.850750e-11       4.550408e-12   
   166.0     0.013444    -0.022613    1.409340e-02  -1.580303e-02   -2.290634e-11    -3.743861e-11     -3.977632e-11       4.220393e-11   
   167.0     0.010816    -0.010207    1.666212e-02  -2.375886e-02   -3.303852e-11    -1.394985e-11     -4.221130e-11       5.589066e-11   
   168.0     0.009387     0.000673    1.605767e-02  -2.137186e-02   -4.459969e-11     2.425860e-11     -3.462301e-11       3.325836e-11   
   169.0     0.010942     0.002074    1.334888e-02  -9.919547e-03   -4.877215e-11     4.504726e-11     -2.370940e-11      -9.022677e-12   
   170.0     0.014846    -0.006348    1.120166e-02   2.268931e-03   -4.245599e-11     3.011135e-11     -1.869419e-11      -3.858518e-11   
   171.0     0.018547    -0.017050    1.178656e-02   6.342602e-03   -3.073792e-11    -1.043330e-11     -2.389874e-11      -3.343873e-11   
   172.0     0.019613    -0.020633    1.506265e-02  -8.101522e-05   -2.285157e-11    -4.605569e-11     -3.523802e-11       2.080550e-13   
   173.0     0.017683    -0.013427    1.880313e-02  -1.101320e-02   -2.479274e-11    -5.023865e-11     -4.352775e-11       3.296732e-11   
   174.0     0.014765    -0.000465    2.036229e-02  -1.685653e-02   -3.449478e-11    -2.182806e-11     -4.196982e-11       3.625628e-11   
   175.0     0.013600     0.008583    1.878896e-02  -1.208996e-02   -4.348810e-11     1.400365e-11     -3.172164e-11       5.747633e-12   
   176.0     0.015433     0.007297    1.559135e-02   2.781279e-04   -4.376223e-11     2.616924e-11     -2.095127e-11      -3.503396e-11   
   177.0     0.018987    -0.002237    1.352218e-02   1.112261e-02   -3.429101e-11     3.013777e-12     -1.810185e-11      -5.411881e-11   
   178.0     0.021509    -0.011137    1.434899e-02   1.259119e-02   -2.188178e-11    -3.811290e-11     -2.489909e-11      -3.759473e-11   
   179.0     0.021038    -0.011056    1.741445e-02   4.497624e-03   -1.560044e-11    -6.507150e-11     -3.491613e-11      -1.191423e-12   
   180.0     0.018030    -0.001105    2.017019e-02  -5.521170e-03   -1.931071e-11    -5.741741e-11     -3.893718e-11       2.285426e-11   
   181.0     0.014972     0.011399    2.026399e-02  -8.270108e-03   -2.848270e-11    -2.332537e-11     -3.267809e-11       1.282651e-11   
   182.0     0.014319     0.017031    1.747554e-02  -5.753654e-04   -3.395437e-11     7.190766e-12     -2.039133e-11      -2.418958e-11   
   183.0     0.016431     0.012143    1.390000e-02   1.208131e-02   -2.956672e-11     7.297027e-12     -1.128617e-11      -5.827332e-11   
   184.0     0.019279     0.001928    1.221297e-02   2.010146e-02   -1.731928e-11    -2.420164e-11     -1.174441e-11      -6.199391e-11   
   185.0     0.020148    -0.003959    1.344581e-02   1.775734e-02   -5.703450e-12    -6.184125e-11     -1.991170e-11      -3.370511e-11   
   186.0     0.017934     0.000424    1.612542e-02   7.976371e-03   -2.568279e-12    -7.493125e-11     -2.728506e-11       1.060338e-12   
   187.0     0.014084     0.012262    1.750920e-02  -1.145667e-04   -8.505072e-12    -5.347991e-11     -2.598308e-11       1.142516e-11   
   188.0     0.011361     0.022373    1.589171e-02   1.129511e-03   -1.635741e-11    -1.666049e-11     -1.550379e-11      -1.235381e-11   
   189.0     0.011494     0.023043    1.204481e-02   1.141427e-02   -1.731162e-11     3.495663e-12     -3.160786e-12      -5.050908e-11   
   190.0     0.013699     0.014631    8.567106e-03   2.275021e-02   -8.417391e-12    -1.057747e-11      2.212891e-12      -7.081445e-11   
   191.0     0.015355     0.005247    7.681531e-03   2.623442e-02    4.881941e-12    -4.695359e-11     -2.112259e-12      -5.645361e-11   
   192.0     0.014265     0.003767    9.346560e-03   1.963174e-02    1.340693e-11    -7.445064e-11     -1.041123e-11      -2.059042e-11   
   193.0     0.010555     0.012157    1.129567e-02   9.280242e-03    1.212271e-11    -6.946368e-11     -1.349405e-11       5.097431e-12   
   194.0     0.006564     0.023772    1.098229e-02   4.654504e-03    4.465143e-12    -3.632767e-11     -6.723458e-12      -1.951003e-12   
   195.0     0.004821     0.029127    7.770271e-03   1.021889e-02   -6.461184e-13    -3.554422e-12      5.929118e-12      -3.546548e-11   
   196.0     0.005846     0.024156    3.484734e-03   2.157885e-02    3.445841e-12     9.131786e-13      1.535857e-11      -6.586106e-11   
   197.0     0.007701     0.013755    8.389950e-04   2.927995e-02    1.533996e-11    -2.599619e-11      1.531319e-11      -6.624788e-11   
