#Longitud de onda =  618  nm				Anchura de pulso =  150  nm
 Iteracion   E(x,n) real  E(x,n) imag  E(x+1,n) real  E(x+1,n) imag  B(x,n+1/2) real  B(x,n+1/2) imag  B(x-1,n+1/2) real  B(x-1,n+1/2) imag
   150.0    7.148232e-03  -0.003445    4.828510e-03     0.022586     -3.511231e-11    -1.388691e-11     -3.829972e-11      -5.865109e-11   
   151.0    6.651707e-03  -0.010419    5.651641e-03     0.014053     -3.337894e-11    -5.630306e-11     -4.179460e-11      -2.687676e-11   
   152.0    5.340744e-03  -0.005835    6.155627e-03     0.000571     -3.479134e-11    -6.740619e-11     -4.374125e-11       1.583649e-11   
   153.0    3.946556e-03   0.007133    5.736572e-03    -0.008121     -3.789388e-11    -4.096734e-11     -4.240355e-11       3.663668e-11   
   154.0    3.244056e-03   0.019221    4.431386e-03    -0.005701     -3.995183e-11     2.229916e-12     -3.837063e-11       1.884510e-11   
   155.0    3.490370e-03   0.021810    2.894246e-03     0.006195     -3.891859e-11     2.929481e-11     -3.412812e-11      -2.560060e-11   
   156.0    4.236615e-03   0.013258    1.931359e-03     0.019094     -3.492301e-11     1.918006e-11     -3.222058e-11      -6.489402e-11   
   157.0    4.657591e-03   0.000161    1.921573e-03     0.023789     -3.018081e-11    -2.177289e-11     -3.335521e-11      -7.111729e-11   
   158.0    4.163093e-03  -0.007525    2.541534e-03     0.017055     -2.737024e-11    -6.437684e-11     -3.587018e-11      -4.132335e-11   
   159.0    2.839000e-03  -0.003934    3.001397e-03     0.004052     -2.765171e-11    -7.821857e-11     -3.698825e-11       1.256178e-13   
   160.0    1.384585e-03   0.008270    2.625744e-03    -0.005448     -2.980295e-11    -5.444177e-11     -3.492701e-11       2.005789e-11   
   161.0    5.863768e-04   0.019875    1.354673e-03    -0.004313     -3.113460e-11    -1.251641e-11     -3.026331e-11       1.938115e-12   
   162.0    7.221036e-04   0.022127   -2.096549e-04     0.006590     -2.951963e-11     1.441297e-11     -2.549385e-11      -4.130196e-11   
   163.0    1.349227e-03   0.013448   -1.252379e-03     0.019018     -2.501040e-11     4.759081e-12     -2.310979e-11      -7.720268e-11   
   164.0    1.645298e-03   0.000680   -1.358965e-03     0.023564     -1.980326e-11    -3.490348e-11     -2.366473e-11      -7.904431e-11   
   165.0    1.043771e-03  -0.006196   -8.288084e-04     0.016827     -1.655761e-11    -7.480738e-11     -2.534521e-11      -4.681732e-11   
   166.0   -3.251317e-04  -0.001836   -4.462968e-04     0.004041     -1.634760e-11    -8.499225e-11     -2.539692e-11      -7.296223e-12   
   167.0   -1.734804e-03   0.010268   -8.783851e-04    -0.004931     -1.783199e-11    -5.864872e-11     -2.230043e-11       7.106580e-12   
   168.0   -2.430883e-03   0.020511   -2.159096e-03    -0.003222     -1.830307e-11    -1.751397e-11     -1.697882e-11      -1.587375e-11   
   169.0   -2.224596e-03   0.020766   -3.661733e-03     0.007682     -1.581215e-11     5.164489e-12     -1.206597e-11      -5.850358e-11   
   170.0   -1.641029e-03   0.010848   -4.585797e-03     0.019080     -1.070813e-11    -9.103521e-12     -9.803439e-12      -8.723181e-11   
   171.0   -1.500099e-03  -0.001322   -4.582567e-03     0.021883     -5.365444e-12    -4.932391e-11     -1.024402e-11      -7.972162e-11   
   172.0   -2.260067e-03  -0.006058   -4.028293e-03     0.013792     -2.300665e-12    -8.372891e-11     -1.121508e-11      -4.295957e-11   
   173.0   -3.648725e-03   0.000293   -3.725476e-03     0.001144     -2.167637e-12    -8.520260e-11     -1.008562e-11      -7.612276e-12   
   174.0   -4.882162e-03   0.012380   -4.264226e-03    -0.006130     -3.238675e-12    -5.312023e-11     -5.912716e-12      -3.007495e-12   
   175.0   -5.298716e-03   0.020187   -5.550372e-03    -0.002445     -2.802491e-12    -1.389480e-11     -2.156607e-13      -3.308112e-11   
   176.0   -4.895748e-03   0.017198   -6.880079e-03     0.008933      6.368514e-13     4.299080e-13      4.267505e-12      -7.310901e-11   
   177.0   -4.330176e-03   0.005742   -7.505526e-03     0.018513      6.140526e-12    -2.170445e-11      5.830858e-12      -9.011030e-11   
   178.0   -4.378415e-03  -0.004914   -7.238255e-03     0.018268      1.109734e-11    -6.188532e-11      5.204271e-12      -7.019491e-11   
   179.0   -5.296419e-03  -0.006208   -6.600681e-03     0.008180      1.335796e-11    -8.682426e-11      4.939315e-12      -3.013809e-11   
   180.0   -6.607847e-03   0.002622   -6.398849e-03    -0.003741      1.299571e-11    -7.579570e-11      7.276339e-12      -3.382545e-12   
   181.0   -7.498792e-03   0.013902   -7.061858e-03    -0.008018      1.223839e-11    -3.780313e-11      1.226670e-11      -1.200982e-11   
   182.0   -7.494383e-03   0.017920   -8.288919e-03    -0.001513      1.361552e-11    -4.121128e-12      1.772685e-11      -4.816187e-11   
   183.0   -6.853933e-03   0.011060   -9.297139e-03     0.009972      1.785021e-11    -2.236355e-12      2.107326e-11      -8.066609e-11   
   184.0   -6.351857e-03  -0.001158   -9.468897e-03     0.016506      2.325282e-11    -3.285207e-11      2.149847e-11      -8.142737e-11   
   185.0   -6.625143e-03  -0.008725   -8.863668e-03     0.012297      2.713274e-11    -6.928829e-11      2.064649e-11      -4.929424e-11   
   186.0   -7.635549e-03  -0.005610   -8.166941e-03     0.000538      2.805378e-11    -7.994444e-11      2.120597e-11      -1.104027e-11   
   187.0   -8.702278e-03   0.005124   -8.115650e-03    -0.009268      2.703700e-11    -5.499985e-11      2.461072e-11       1.521366e-12   
   188.0   -9.080236e-03   0.013928   -8.879324e-03    -0.009298      2.668877e-11    -1.474234e-11      2.981009e-11      -2.119055e-11   
   189.0   -8.594007e-03   0.012924   -9.917661e-03    -0.000012      2.898300e-11     7.678093e-12      3.416870e-11      -5.829597e-11   
   190.0   -7.786195e-03   0.002647   -1.043732e-02     0.010239      3.357805e-11    -5.481438e-12      3.573042e-11      -7.647125e-11   
   191.0   -7.450907e-03  -0.008412   -1.006390e-02     0.012303      3.810702e-11    -4.138509e-11      3.489899e-11      -5.877223e-11   
   192.0   -7.950643e-03  -0.011120   -9.159109e-03     0.004027      4.020159e-11    -6.763980e-11      3.407900e-11      -1.932108e-11   
   193.0   -8.904401e-03  -0.003594   -8.511086e-03    -0.007901      3.951988e-11    -6.017357e-11      3.558097e-11       8.986601e-12   
   194.0   -9.517991e-03   0.007180   -8.659856e-03    -0.013688      3.803252e-11    -2.400432e-11      3.960687e-11       3.166854e-12   
   195.0   -9.272744e-03   0.011413   -9.434726e-03    -0.008847      3.831327e-11     1.111000e-11      4.407330e-11      -2.977521e-11   
   196.0   -8.375466e-03   0.005044   -1.010227e-02     0.001937      4.130625e-11     1.649392e-11      4.643304e-11      -5.901113e-11   
   197.0   -7.576831e-03  -0.006718   -9.999709e-03     0.008862      4.550570e-11    -1.050982e-11      4.590439e-11      -5.699482e-11   
   198.0   -7.514726e-03  -0.013960   -9.107946e-03     0.005504      4.826715e-11    -4.424440e-11      4.415010e-11      -2.372191e-11   
